11.67, 200444, District 1 Marketplace, 73d
12.24, 195677, District 1 Marketplace, 73d
10, 100000, District 1 Marketplace, 30d
0.18, 1001, District 1 Marketplace, 77d
12.33, 200003, District 1 Marketplace, 73d
11.94, 201981, District 1 Marketplace, 73d
14.20, 691010, District 1 Marketplace, 26d
14.22, 59101, District 1 Marketplace, 6d
12.50, 61580, District 1 Marketplace, 73d
14.23, 20000, District 1 Marketplace, 3d
13.03, 35087, District 10 Marketplace, 3d
12.24, 200035, District 10 Marketplace, 73d
11.67, 200444, District 10 Marketplace, 73d
11.94, 201981, District 10 Marketplace, 73d
10, 100000, District 10 Marketplace, 30d
0.18, 1003, District 10 Marketplace, 77d
14.01, 20000, District 10 Marketplace, 3d
12.33, 85812, District 10 Marketplace, 73d
14, 100000, District 10 Marketplace, 7d
0.01, 10000, District 2 Marketplace, 89d
11.67, 186208, District 2 Marketplace, 73d
12.01, 20000, District 2 Marketplace, 3d
12, 195766, District 2 Marketplace, 3d
11.94, 149020, District 2 Marketplace, 73d
14.22, 66788, District 3 Marketplace, 6d
12.24, 199467, District 3 Marketplace, 73d
13.50, 22578, District 3 Marketplace, 6d
11.67, 200433, District 3 Marketplace, 73d
12.51, 100000, District 3 Marketplace, 87d
14.30, 18721, District 3 Marketplace, 16h
14.31, 20000, District 3 Marketplace, 3d
14.31, 20000, District 3 Marketplace, 3d
13.01, 60553, District 3 Marketplace, Sh
12.33, 199957, District 3 Marketplace, 73d
13.03, 197673, District 3 Marketplace, 89d
12.50, 28280, District 3 Marketplace, 73d
13.50, 57218, District 4 Marketplace, 24d
14.23, 20000, District 4 Marketplace, 3d
12.50, 15125, District 4 Marketplace, 73d
14.22, 17740, District 4 Marketplace, 6d
12.24, 200035, District 4 Marketplace, 73d
11.94, 201981, District 4 Marketplace, 73d
11.67, 200444, District 4 Marketplace, 73d
12.33, 200003, District 4 Marketplace, 73d
14.02, 63199, District 4 Marketplace, 17h
11.67, 200444, District 5 Marketplace, 73d
12.24, 200035, District 5 Marketplace, 73d
11.94, 201981, District 5 Marketplace, 73d
12.53, 493014, District 5 Marketplace, 6d
12.33, 200003, District 5 Marketplace, 73d
12.50, 192094, District 5 Marketplace, 73d
12.52, 16149, District 5 Marketplace, Bid
14.55, 13769, District 5 Marketplace, 3d
14.54, 35587, District 5 Marketplace, 6d
15, 152982, District 6 Marketplace, 3h
15.90, 251224, District 6 Marketplace, 20h
5, 20000, District 6 Marketplace, 26h
15, 5500, District 6 Marketplace, 7d
15.80, 51178, District 6 Marketplace, 18h
12, 494000, District 6 Marketplace, 4d
11.67, 116713, District 6 Marketplace, 73d
5, 1000000, District 6 Marketplace, 27d
14.20, 200000, District 6 Marketplace, 2h
15.75, 18706, District 6 Marketplace, 2d
14, 45840, District 6 Marketplace, 5d
15.50, 140454, District 6 Marketplace, 6h
