0, 1000000, District 1 Marketplace, 63d
400000, 1, District 2 Marketplace 88, d
0.01, 1, District 2 Marketplace, 89d
2000000, 1, District 3 Marketplace, 11h
1000000, 1, District 3 Marketplace, 6h
10, 5, District 6 Marketplace, 65d
0.01, 50000, District 6 Marketplace, 66d
1000000, 1, District 6 Marketplace, 5d
1047.36, 1, District 7 Marketplace, 75d
0.02, 100000, District 7 Marketplace, 69d
0, 10000000, District 7 Marketplace, 63d
1050000, 1, District 7 Marketplace 86, d
0, 1000000, District 8 Marketplace, 63d
0, 1000000, Marketplace 1 Alioth Moon 1, 63d
0, 1000000, Marketplace 1 Feli Moon 1, 63d
0, 1000000, Marketplace 1 lon Moon 1, 63d
0, 1000000, Marketplace 1 Lacobus Moon 1, 63d
0, 1000000, Marketplace 1 Madis Moon 1, 63d
0, 1000000, Marketplace 1 Sinnen Moon 1, 63d
0, 100000, Marketplace 1 Talemai Moon 1, 63d
0, 1000000, Marketplace 1 Thades Moon 1, 63d
0.01, 10000, Marketplace Alioth 13, 79d
0, 100000, Marketplace Feli 4, 63d
0, 1000000, Marketplace Jago 1, 63d
1047356.23, 1, Marketplace Jago 1, 63d
1047356.23, 1, Marketplace Jago 2, 63d
1047356.23, 1, Marketplace Jago 3, 63d
1047356.23, 1, Marketplace Jago 4, 63d
1047356.23, 1, Marketplace Jago 4, 63d
1047356.23, 1, Marketplace Jago 5, 63d
1, 1, Marketplace Jago 5, 7id
1047356.23, 1, Marketplace Jago 6, 63d
0, 1000000, Marketplace Sicari 1, 63d
0, 1000000, Marketplace Symeon 1, 63d
0, 1000000, Sanctuary 1 Marketplace, 63d
1, 50, Sanctuary 9 Marketplace, 64d
