1.40, 1000, District 4 Marketplace, 7id
0.10, 100000, District 5 Marketplace, 66d
13000, 110, District 5 Marketplace, 3d
0.01, 50000, District 6 Marketplace, 65d
1.41, 1000, District 7 Marketplace, 69d
1013.78, 10, District 7 Marketplace, 74d
10001, 5, District 7 Marketplace, 77d
13000, 20, District 7 Marketplace, 3d
13001, 2, District 7 Marketplace, 90d
0, 1000000000000, District 8 Marketplace, 66d
13000, 20, District 8 Marketplace, 3d
10000, 10, District 9 Marketplace, 25d
0.10, 100000, Marketplace 12 Sanctuary Moon, 85d
10, 10, Marketplace 12 Sanctuary Moon, 88d
14000, 75, Marketplace Alioth 11, 7d
1, 50, Sanctuary 9 Marketplace, 62d
