78.06, 201001, District 1 Marketplace, 73d
75.83, 201005, District 1 Marketplace, 73d
77.65, 201733, District 1 Marketplace, 73d
79.16, 201734, District 1 Marketplace, 73d
75, 200650, District 1 Marketplace, 73d
78.06, 201001, District 10 Marketplace, 73d
75.83, 201005, District 10 Marketplace, 73d
20, 18400, District 10 Marketplace, 3d
79.16, 201734, District 10 Marketplace, 73d
30, 66, District 10 Marketplace, 3d
75, 200652, District 10 Marketplace, 73d
29.90, 1000, District 10 Marketplace, 89d
77.65, 201733, District 10 Marketplace, 73d
4800, 470, District 2 Marketplace, Bid
20, 166, District 2 Marketplace, 25d
17, 37934, District 2 Marketplace, 2d
30, 406, District 2 Marketplace, 21d
29.99, 3880, District 2 Marketplace, 2d
18.99, 1379, District 2 Marketplace, 2d
63, 240, District 2 Marketplace, 82d
79.16, 201734, District 2 Marketplace, 73d
75, 200652, District 2 Marketplace, 73d
78.06, 201001, District 2 Marketplace, 73d
75.83, 191005, District 2 Marketplace, 73d
77.65, 201733, District 2 Marketplace, 73d
15, 600, District 2 Marketplace, 3d
33, 3, District 2 Marketplace, 20d
19, 4596, District 3 Marketplace 86, d
75.83, 201005, District 3 Marketplace, 73d
77.65, 201733, District 3 Marketplace, 73d
79.16, 201734, District 3 Marketplace, 73d
75, 199652, District 3 Marketplace, 73d
18, 801, District 3 Marketplace, 26d
19, 140829, District 3 Marketplace 86, d
19, 4596, District 3 Marketplace 86, d
79.16, 201734, District 3 Marketplace, 73d
75, 200652, District 4 Marketplace, 73d
78.06, 201001, District 4 Marketplace, 73d
65, 2700, District 4 Marketplace, 7d
75.83, 201005, District 4 Marketplace, 73d
65, 3150, District 4 Marketplace, 6d
77.65, 201733, District 4 Marketplace, 73d
65, 2345, District 4 Marketplace, 6d
79.16, 201734, District 4 Marketplace, 73d
75, 198652, District 5 Marketplace, 73d
17.85, 450000, District 5 Marketplace, 30d
78.06, 201001, District 5 Marketplace, 73d
75.83, 201005, District 5 Marketplace, 73d
64.46, 40, District 5 Marketplace, 23d
79.16, 201734, District 5 Marketplace, 73d
77.65, 201733, District 5 Marketplace, 73d
100, 360, District 5 Marketplace, 70d
17.90, 170126, District 5 Marketplace, 6d
18, 166654, District 5 Marketplace, 3d
17, 4695, District 6 Marketplace, 3d
20, 6613, District 6 Marketplace, 6d
20, 4932, District 6 Marketplace, 6d
18, 1160, District 6 Marketplace, 7d
75.83, 201005, District 6 Marketplace, 73d
78.06, 201001, District 6 Marketplace, 73d
75, 200652, District 6 Marketplace, 73d
19, 1060, District 6 Marketplace, 2d
24, 50909, District 6 Marketplace, 2d
24, 1879, District 6 Marketplace, 48h
77.65, 201733, District 6 Marketplace, 73d
20, 5077, District 6 Marketplace, 6d
79.16, 201734, District 6 Marketplace, 73d
20, 10200, District 6 Marketplace, 6d
75.83, 201005, District 7 Marketplace, 73d
22.50, 40000, District 7 Marketplace, 3d
78.06, 201001, District 7 Marketplace, 73d
18, 8522, District 7 Marketplace, 2d
75, 192587, District 7 Marketplace, 73d
25, 3727, District 7 Marketplace, 26d
15, 4000, District 7 Marketplace, 30d
79.16, 201734, District 7 Marketplace, 73d
77.65, 201733, District 7 Marketplace, 73d
77.65, 201733, District 8 Marketplace, 73d
20, 8807, District 8 Marketplace, 4d
30, 320, District 8 Marketplace, 29 min
75, 200652, District 8 Marketplace, 73d
78.06, 201001, District 8 Marketplace, 73d
75.83, 201005, District 8 Marketplace, 73d
19.50, 10584, District 8 Marketplace, 3d
20, 9143, District 8 Marketplace, 11h
79.16, 201734, District 8 Marketplace, 73d
38, 180, District 9 Marketplace, 7id
75.83, 201005, District 9 Marketplace, 73d
50000, 60, District 9 Marketplace, 7id
25, 7356, District 9 Marketplace, 20h
75, 200652, District 9 Marketplace, 73d
77.65, 201733, District 9 Marketplace, 73d
79.16, 201734, District 9 Marketplace, 73d
60, 60, District 9 Marketplace, 75d
26, 150000, District 9 Marketplace, 30d
78.06, 201001, District 9 Marketplace, 73d
77.65, 201733, Marketplace 1 Alioth Moon 1, 73d
75.83, 201005, Marketplace 1 Alioth Moon 1, 73d
79.16, 201734, Marketplace 1 Alioth Moon 1, 73d
79.16, 201734, Marketplace 1 Alioth Moon 1, 73d
78.06, 201001, Marketplace 1 Alioth Moon 1, 73d
78.06, 201001, Marketplace 1 Alioth Moon 2, 73d
80, 3311, Marketplace 1 Alioth Moon 2, 72d
79.16, 201734, Marketplace 1 Alioth Moon 2, 73d
50, 4900, Marketplace 1 Alioth Moon 2, 23d
45, 4900, Marketplace 1 Alioth Moon 2, 83d
4900, 50, Marketplace 1 Alioth Moon 2, 83d
45, 4900, Marketplace 1 Alioth Moon 2, 83d
50, 4471, Marketplace 1 Alioth Moon 2, 23d
45, 4800, Marketplace 1 Alioth Moon 2, 83d
75, 200652, Marketplace 1 Alioth Moon 2, 73d
4, 1777, Marketplace 1 Alioth Moon 2, 2d
75.83, 201005, Marketplace 1 Alioth Moon 2, 73d
77.65, 201733, Marketplace 1 Alioth Moon 2, 73d
44.99, 100, Marketplace 1 Alioth Moon 2, 89d
78.06, 201001, Marketplace 1 Feli Moon 1, 73d
75, 200652, Marketplace 1 Feli Moon 1, 73d
79.16, 201734, Marketplace 1 Feli Moon 1, 73d
75.83, 201005, Marketplace 1 Feli Moon 1, 73d
77.65, 201733, Marketplace 1 Feli Moon 1, 73d
79.16, 201734, Marketplace 1 lon Moon 1, 73d
78.06, 201001, Marketplace 1 lon Moon 1, 73d
75, 200652, Marketplace 1 lon Moon 1, 73d
77.65, 201733, Marketplace 1 lon Moon 1, 73d
75.83, 201005, Marketplace 1 lon Moon 1, 73d
79.16, 201734, Marketplace 1 lon Moon 2, 73d
75.83, 201005, Marketplace 1 lon Moon 2, 73d
77.65, 201733, Marketplace 1 lon Moon 2, 73d
75, 200652, Marketplace 1 lon Moon 2, 73d
78.06, 201001, Marketplace 1 lon Moon 2, 73d
78.06, 201001, Marketplace 1 Lacobus Moon 1, 73d
75, 200652, Marketplace 1 Lacobus Moon 1, 73d
77.65, 201733, Marketplace 1 Lacobus Moon 1, 73d
75.83, 201005, Marketplace 1 Lacobus Moon 1, 73d
79.16, 201734, Marketplace 1 Lacobus Moon 1, 73d
75, 200652, Marketplace 1 Lacobus Moon 2, 73d
75.83, 201005, Marketplace 1 Lacobus Moon 2, 73d
79.16, 201734, Marketplace 1 Lacobus Moon 2, 73d
78.06, 201001, Marketplace 1 Lacobus Moon 2, 73d
77.65, 201733, Marketplace 1 Lacobus Moon 2, 73d
75, 200652, Marketplace 1 Lacobus Moon 3, 73d
78.06, 201001, Marketplace 1 Lacobus Moon 3, 73d
79.16, 201734, Marketplace 1 Lacobus Moon 3, 73d
77.65, 201733, Marketplace 1 Lacobus Moon 3, 73d
75.83, 201005, Marketplace 1 Lacobus Moon 3, 73d
75, 200652, Marketplace 1 Madis Moon 1, 73d
75.83, 201005, Marketplace 1 Madis Moon 1, 73d
77.65, 201733, Marketplace 1 Madis Moon 1, 73d
78.06, 201001, Marketplace 1 Madis Moon 1, 73d
79.16, 201734, Marketplace 1 Madis Moon 1, 73d
75, 200652, Marketplace 1 Madis Moon 2, 73d
78.06, 201001, Marketplace 1 Madis Moon 2, 73d
79.16, 201734, Marketplace 1 Madis Moon 2, 73d
77.65, 201733, Marketplace 1 Madis Moon 2, 73d
75.83, 201005, Marketplace 1 Madis Moon 2, 73d
78.06, 201001, Marketplace 1 Madis Moon 3, 73d
75.83, 201005, Marketplace 1 Madis Moon 3, 73d
75, 200652, Marketplace 1 Madis Moon 3, 73d
77.65, 201733, Marketplace 1 Madis Moon 3, 73d
79.16, 201734, Marketplace 1 Madis Moon 3, 73d
30, 5527, Marketplace 1 Sinnen Moon 1, 69d
75, 200652, Marketplace 1 Sinnen Moon 1, 73d
60, 20000, Marketplace 1 Sinnen Moon 1, 76d
78.06, 201001, Marketplace 1 Sinnen Moon 1, 73d
79.16, 201734, Marketplace 1 Sinnen Moon 1, 73d
60, 20000, Marketplace 1 Sinnen Moon 1, 76d
75, 200652, Marketplace 1 Sinnen Moon 1, 73d
62, 80, Marketplace 1 Sinnen Moon 1, 13d
78.06, 201001, Marketplace 1 Talemai Moon 1, 73d
79.16, 201734, Marketplace 1 Talemai Moon 1, 73d
77.65, 201733, Marketplace 1 Talemai Moon 1, 73d
75, 200652, Marketplace 1 Talemai Moon 1, 73d
75.83, 201005, Marketplace 1 Talemai Moon 1, 73d
75.83, 201005, Marketplace 1 Talemai Moon 2, 73d
75, 200652, Marketplace 1 Talemai Moon 2, 73d
78.06, 201001, Marketplace 1 Talemai Moon 2, 73d
79.16, 201734, Marketplace 1 Talemai Moon 2, 73d
77.65, 201733, Marketplace 1 Talemai Moon 2, 73d
75.83, 201005, Marketplace 1 Talemai Moon 3, 73d
79.16, 201734, Marketplace 1 Talemai Moon 3, 73d
77.65, 201733, Marketplace 1 Talemai Moon 3, 73d
78.06, 201001, Marketplace 1 Talemai Moon 3, 73d
75, 200652, Marketplace 1 Talemai Moon 3, 73d
75, 200652, Marketplace 1 Thades Moon 1, 73d
77.65, 201733, Marketplace 1 Thades Moon 1, 73d
79.16, 201734, Marketplace 1 Thades Moon 1, 73d
78.06, 201001, Marketplace 1 Thades Moon 1, 73d
74, 1157, Marketplace 1 Thades Moon 1, 25d
75.83, 201005, Marketplace 1 Thades Moon 1, 73d
75.83, 201005, Marketplace 1 Thades Moon 2, 73d
75, 200652, Marketplace 1 Thades Moon 2, 73d
77.65, 201733, Marketplace 1 Thades Moon 2, 73d
78.06, 201001, Marketplace 1 Thades Moon 2, 73d
79.16, 201734, Marketplace 1 Thades Moon 2, 73d
75.83, 195005, Marketplace 11 Sanctuary, 73d
79.16, 201734, Marketplace 11 Sanctuary, 73d
50, 13, Marketplace 11 Sanctuary, 3d
50, 5000, Marketplace 11 Sanctuary, 7d
