70, 4027, District 1 Marketplace, 5d
78.17, 200052, District 1 Marketplace, 73d
77.95, 200646, District 1 Marketplace, 73d
500, 80, District 1 Marketplace, 63d
77.34, 200960, District 1 Marketplace, 73d
75, 201057, District 1 Marketplace, 73d
500, 80, District 1 Marketplace, 63d
77.95, 200646, District 1 Marketplace, 73d
76.48, 201412, District 10 Marketplace, 73d
35, 3350, District 10 Marketplace, 6d
40, 2504, District 10 Marketplace, 89d
77.95, 200646, District 10 Marketplace, 73d
77.34, 200960, District 10 Marketplace, 73d
56, 3000, District 10 Marketplace, 87d
7990, 360, District 10 Marketplace, 15d
78.17, 200052, District 10 Marketplace, 73d
75, 201357, District 10 Marketplace, 73d
20, 53568, District 10 Marketplace, 3d
76.48, 201412, District 2 Marketplace, 73d
75, 201357, District 2 Marketplace, 73d
56, 4000, District 2 Marketplace, 87d
77.95, 200646, District 2 Marketplace, 73d
15, 10281, District 2 Marketplace, 2d
15, 10281, District 2 Marketplace, 2d
4, 200, District 2 Marketplace, 72d
15, 231, District 2 Marketplace, 30h
77.34, 200960, District 2 Marketplace, 73d
78.17, 200052, District 2 Marketplace, 73d
77.34, 200960, District 3 Marketplace, 73d
76.48, 201412, District 3 Marketplace, 73d
77.95, 200646, District 3 Marketplace, 73d
15, 2801, District 3 Marketplace, 27d
75, 201357, District 3 Marketplace, 73d
17, 3500, District 3 Marketplace, 2d
50000, 14, District 3 Marketplace, 79d
78.17, 200052, District 3 Marketplace, 73d
19, 1080, District 3 Marketplace, 23d
14.98, 24350, District 3 Marketplace, 38h
14.70, 5001, District 3 Marketplace, 29d
23, 45262, District 3 Marketplace, 6d
40, 3000, District 3 Marketplace, 22d
15.50, 3800, District 3 Marketplace, 6d
16, 4509, District 3 Marketplace 86, d
125000, 8, District 3 Marketplace, 79d
19.50, 920, District 3 Marketplace, 77 min
62858, 10, District 3 Marketplace, 3d
62858, 10, District 3 Marketplace, 3d
58, 4600, District 3 Marketplace, 78 min
18, 105, District 3 Marketplace, 30h
78.17, 200052, District 4 Marketplace, 73d
76.48, 201412, District 4 Marketplace, 73d
77.95, 200646, District 4 Marketplace, 73d
75, 201350, District 4 Marketplace, 73d
77.34, 200960, District 4 Marketplace, 73d
56, 3000, District 4 Marketplace, 87d
14, 240, District 4 Marketplace, 6d
16, 3439, District 4 Marketplace, 3d
16, 4500, District 4 Marketplace, 3d
14, 264, District 4 Marketplace, 6d
57, 1184, District 4 Marketplace, 36h
15, 4775, District 4 Marketplace, 25d
81, 89, District 4 Marketplace, 20d
16.50, 20000, District 5 Marketplace, 5d
76.48, 201412, District 5 Marketplace, 73d
14.50, 3494, District 5 Marketplace, 7d
15, 9732, District 5 Marketplace, 89d
77.95, 200646, District 5 Marketplace, 73d
75, 201357, District 5 Marketplace, 73d
19, 1560, District 5 Marketplace, 23d
77.34, 200960, District 5 Marketplace, 73d
58.01, 73, District 5 Marketplace, 23d
